Number of Probes	Iterations	Solution Time	Matrix Time
25	382	0.020070	0.371992
26	322	0.018407	0.448544
27	362	0.019366	0.573244
28	351	0.019278	0.446689
29	392	0.022222	0.573962
30	334	0.018598	0.513425
31	339	0.018803	0.568379
32	307	0.018385	0.529118
33	364	0.020754	0.835063
34	323	0.017618	0.605761
35	383	0.022170	0.596894
36	513	0.031108	0.712893
37	306	0.018348	0.838762
38	304	0.017521	0.820693
39	367	0.023023	0.719306
40	272	0.018129	1.116699
